,pJ_h_inf
2000-01-04,
2000-01-05,0.09419685028277623
2000-01-06,0.07772147865342884
2000-01-07,0.0
2000-01-10,0.012790261068929538
2000-01-11,0.02125127720256988
2000-01-12,0.021305966459407244
2000-01-13,0.09352865657214167
2000-01-14,0.09337691300546168
2000-01-18,0.11837291456884962
2000-01-19,0.11906685482545594
2000-01-20,0.11896868459908033
2000-01-21,0.11896559915954996
2000-01-24,0.16681332222294787
2000-01-25,0.1668445191298874
2000-01-26,0.16995628014516095
2000-01-27,0.2255292850362854
2000-01-28,0.2161720468363099
2000-01-31,0.20398949375146236
2000-02-01,0.19358571418801093
2000-02-02,0.20601020465968006
2000-02-03,0.16844682033599342
2000-02-04,0.17078857258070085
2000-02-07,0.1715009379499786
2000-02-08,0.15774281599282128
2000-02-09,0.15640311913126767
2000-02-10,0.15347825289310407
2000-02-11,0.1558504297310098
2000-02-14,0.1569640765315274
2000-02-15,0.161386308813601
2000-02-16,0.16173025184023102
2000-02-17,0.16236161590385115
2000-02-18,0.15748088999066848
2000-02-22,0.1582220262018633
2000-02-23,0.1509822818836176
2000-02-24,0.1514629128364357
2000-02-25,0.15405767848502255
2000-02-28,0.1563052282949515
2000-02-29,0.15641786670656496
2000-03-01,0.17225252749888015
2000-03-02,0.1697115405656769
2000-03-03,0.1700251349168924
2000-03-06,0.17270061052029112
2000-03-07,0.17770910571038023
2000-03-08,0.17783104748083475
2000-03-09,0.17550923226978155
2000-03-10,0.17552517065433376
2000-03-13,0.17723302455468304
2000-03-14,0.17737540823732875
2000-03-15,0.21660757658336335
2000-03-16,0.2172173778994322
2000-03-17,0.216938253169747
2000-03-20,0.21711429470951038
2000-03-21,0.19874382065976853
2000-03-22,0.20323107393970416
2000-03-23,0.20218627696371047
2000-03-24,0.1971052175269785
2000-03-27,0.20156043245989408
2000-03-28,0.2000807475891023
2000-03-29,0.2101950476465691
2000-03-30,0.2136995629091762
2000-03-31,0.2172760375897007
2000-04-03,0.22804730213899704
2000-04-04,0.23708370597130435
2000-04-05,0.25598845562231604
2000-04-06,0.26064124932045984
2000-04-07,0.25725100417616664
2000-04-10,0.2532685346191972
2000-04-11,0.2591915634370662
2000-04-12,0.25616986672022535
2000-04-13,0.23412560697849752
2000-04-14,0.23392227324485704
2000-04-17,0.23571061919562455
2000-04-18,0.21738395546317738
2000-04-19,0.2179450194957684
2000-04-20,0.21808015123257074
2000-04-24,0.21740280641000365
2000-04-25,0.21441192662844172
2000-04-26,0.21565318532223235
2000-04-27,0.21654056038653968
2000-04-28,0.21730847553421692
2000-05-01,0.21615344711987683
2000-05-02,0.21433346772089823
2000-05-03,0.22091236554552593
2000-05-04,0.22056538901705303
2000-05-05,0.2223022548456817
2000-05-08,0.2251137927632592
2000-05-09,0.22784732606416894
2000-05-10,0.2333103679998756
2000-05-11,0.2323965244287622
2000-05-12,0.23286784860791404
2000-05-15,0.23229203785145006
2000-05-16,0.2396863888761623
2000-05-17,0.2397789111757948
2000-05-18,0.23912477948732277
2000-05-19,0.23907334112240064
2000-05-22,0.23947590190170986
2000-05-23,0.23322787718941873
2000-05-24,0.23406412288179765
2000-05-25,0.23237699656538244
2000-05-26,0.23289071252428103
2000-05-30,0.22851345376035134
2000-05-31,0.22613486771614486
2000-06-01,0.2253378250155123
2000-06-02,0.21797768626943234
2000-06-05,0.21620165225796595
2000-06-06,0.21395139038868374
2000-06-07,0.21365185476317497
2000-06-08,0.2136700508947024
2000-06-09,0.21384848909945556
2000-06-12,0.21244988159908307
2000-06-13,0.21248037538600925
2000-06-14,0.21126390156105587
2000-06-15,0.21528102217944928
2000-06-16,0.21533974958974578
2000-06-19,0.215659362721401
2000-06-20,0.21725071693444734
2000-06-21,0.2173712967715352
2000-06-22,0.2219815109069519
2000-06-23,0.21320200809230713
2000-06-26,0.2134540614317088
2000-06-27,0.21316938100106622
2000-06-28,0.2126930339183064
2000-06-29,0.21279949679240906
2000-06-30,0.21334425751283612
2000-07-03,0.21301382239103694
2000-07-05,0.21316532120141035
2000-07-06,0.21317964241119575
2000-07-07,0.21319843061847546
2000-07-10,0.21312896372508383
2000-07-11,0.21192218526577403
2000-07-12,0.2105894600718769
2000-07-13,0.2116930291760418
2000-07-14,0.19959536255421842
2000-07-17,0.19921573395981695
2000-07-18,0.1990661971897171
2000-07-19,0.20130655180672755
2000-07-20,0.20128307321997788
2000-07-21,0.20099809479657088
2000-07-24,0.1997162279279814
2000-07-25,0.19954518643802494
2000-07-26,0.19897853379143055
2000-07-27,0.19786995764093052
2000-07-28,0.20009707452741463
2000-07-31,0.20088021598908304
2000-08-01,0.20137348137259747
2000-08-02,0.20122702539071868
2000-08-03,0.20097928922689615
2000-08-04,0.20128507972345572
2000-08-07,0.20136130277915673
2000-08-08,0.20119160325895935
2000-08-09,0.19973259710328126
2000-08-10,0.20024524905350977
2000-08-11,0.19567277122650054
2000-08-14,0.194968060693599
2000-08-15,0.19478740943322212
2000-08-16,0.19562886248489475
2000-08-17,0.1958799258089923
2000-08-18,0.19562278774114245
2000-08-21,0.19515664824054033
2000-08-22,0.1955351054032956
2000-08-23,0.1938172359889174
2000-08-24,0.19420286562998484
2000-08-25,0.19590367130411077
2000-08-28,0.19639987114634663
2000-08-29,0.19665350697851752
2000-08-30,0.1987729177126616
2000-08-31,0.1987832218193794
2000-09-01,0.19963926902905962
2000-09-05,0.1955322362806556
2000-09-06,0.19710939582077802
2000-09-07,0.1963088842177235
2000-09-08,0.19647821941636878
2000-09-11,0.1971213728129982
2000-09-12,0.19709624409699653
2000-09-13,0.1973220780256321
2000-09-14,0.19858317266974537
2000-09-15,0.19838365903040323
2000-09-18,0.2009032166906412
2000-09-19,0.2002490245657575
2000-09-20,0.19824506736587993
2000-09-21,0.19787831139649176
2000-09-22,0.19992328576421897
2000-09-25,0.20019570501183825
2000-09-26,0.2010337399424705
2000-09-27,0.2011160491044096
2000-09-28,0.20040100974796296
2000-09-29,0.1999707187492808
2000-10-02,0.20163882674273917
2000-10-03,0.20154306689866286
2000-10-04,0.20118977584499279
2000-10-05,0.20266085397376726
2000-10-06,0.20153864917437034
2000-10-09,0.20085749681882692
2000-10-10,0.20073543830027063
2000-10-11,0.19943133710542774
2000-10-12,0.1962045871902929
2000-10-13,0.19245031053422515
2000-10-16,0.19065837997551394
2000-10-17,0.18802621241699033
2000-10-18,0.18347212898541396
2000-10-19,0.18291641570394346
2000-10-20,0.18508437496142927
2000-10-23,0.1851962925152503
2000-10-24,0.18545112411944173
2000-10-25,0.1833696389051274
2000-10-26,0.17801545598417917
2000-10-27,0.17794275062490592
