Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-01-03,,,,,,,,
2000-01-04,,,,,,,,
2000-01-05,,,,,,,,
2000-01-06,,,,,,,,
2000-01-07,,,,,,,,
2000-01-10,,,,,,,,
2000-01-11,,,,,,,,
2000-01-12,,,,,,,,
2000-01-13,,,,,,,,
2000-01-14,,,,,,,,
2000-01-18,,,,,,,,
2000-01-19,,,,,,,,
2000-01-20,,,,,,,,
2000-01-21,,,,,,,,
2000-01-24,,,,,,,,
2000-01-25,,,,,,,,
2000-01-26,,,,,,,,
2000-01-27,,,,,,,,
2000-01-28,,,,,,,,
2000-01-31,,,,,,,,
2000-02-01,,,,,,,,
2000-02-02,,,,,,,,
2000-02-03,,,,,,,,
2000-02-04,,,,,,,,
2000-02-07,,,,,,,,
2000-02-08,,,,,,,,
2000-02-09,,,,,,,,
2000-02-10,,,,,,,,
2000-02-11,,,,,,,,
2000-02-14,,,,,,,,
2000-02-15,11.79703808855643,1.0,,,,,0.161386308813601,
2000-02-16,11.291378992085146,0.9571367751230886,-0.04380897702759381,,-0.03960853220266711,0.9611656309064434,0.16707826712409404,0.161386308813601
2000-02-17,10.835470409973095,0.9184907540888512,-0.04121446366592276,,-0.02370563884466569,0.9386485311682443,0.18819172563110714,0.16707826712409404
2000-02-18,10.654587646113832,0.9031578576023402,-0.016834485529398417,,-0.026644691689163398,0.9139687826725428,0.18360616600600121,0.18819172563110714
2000-02-22,10.73712743950327,0.9101545115734336,0.007717025276323564,,0.002538825367209581,0.9162921378514041,0.1814392681579678,0.18360616600600121
2000-02-23,10.829682529278863,0.9180001325742994,0.008583157001382676,,0.01068722590257748,0.9261372738109183,0.1668054342310367,0.1814392681579678
2000-02-24,10.65509612153788,0.9032009595589696,-0.016252459802826767,,-0.028508831320072196,0.9001069919430342,0.15163134334664422,0.1668054342310367
2000-02-25,10.44717245430627,0.8855758857335909,-0.019706923508511564,,-0.01786435177276165,0.8841699403904957,0.14971088820752804,0.15163134334664422
2000-02-28,10.512964619377662,0.8911528928244822,0.006277857909098749,,0.003351753532824131,0.887138432159138,0.1539745082108184,0.14971088820752804
2000-02-29,10.422999673760451,0.8835268306771978,-0.00859434971443864,,-0.00472833660368484,0.8829536443771123,0.150873671552166,0.1539745082108184
2000-03-01,10.901493337940146,0.9240873222673582,0.044884911874507064,,0.03377402326492395,0.9132838447052313,0.14892615904295087,0.150873671552166
2000-03-02,10.611996249809861,0.8995475110065039,-0.02691470044775145,,-0.03094470332142813,0.8854553401122989,0.14711834371745028,0.14892615904295087
2000-03-03,10.729405710818797,0.9094999634888629,0.011003086466984429,,0.008403800279643148,0.8929278848556709,0.14536767941196596,0.14711834371745028
2000-03-06,10.55330517705281,0.8945724424921465,-0.016549071568547544,,-0.01609451006500786,0.8786716790837965,0.1402171611759741,0.14536767941196596
2000-03-07,10.123085079399136,0.8581039582485461,-0.041620630637335475,,-0.03450843802013592,0.8488673007860101,0.14519753516513115,0.1402171611759741
2000-03-08,10.23581393372369,0.8676596495566811,0.011074273351816957,,0.007060776362574964,0.8548821728023943,0.14094343249569652,0.14519753516513115
2000-03-09,10.075440208455085,0.8540652435655557,-0.01579194047175685,,-0.002625668793981458,0.8526404796185334,0.14639688278099025,0.14094343249569652
2000-03-10,10.004990255545582,0.8480934095864959,-0.0070168059483756776,,-0.027315406145880947,0.8296654729538769,0.120020769541694,0.14639688278099025
2000-03-13,9.538701325793618,0.8085674772082423,-0.04772664725474678,,-0.034056735322854165,0.8018855080150102,0.13683170712532502,0.120020769541694
2000-03-14,9.415357637556372,0.7981119978488179,-0.013015199501644373,,-0.008021850898997504,0.7954786338830294,0.14166825131062658,0.13683170712532502
2000-03-15,9.580722719245408,0.8121295063494852,0.017410882239191433,,0.0762352661546047,0.8584936252384974,0.22633020627038494,0.14166825131062658
2000-03-16,10.031113167250574,0.850307771488941,0.045938550029776946,,0.0434954806804729,0.8966581946394667,0.22464147990813904,0.22633020627038494
2000-03-17,9.222036719802702,0.7817247558731224,-0.08409566405145104,,-0.014730560425935865,0.8835467236663133,0.3033990335269593,0.22464147990813904
2000-03-20,9.086454978359429,0.7702318929675773,-0.01481107479451475,,-0.010962282442657336,0.8739139300976251,0.3071436066852131,0.3033990335269593
2000-03-21,9.874805529084139,0.8370580356660093,0.08320177659259732,,0.04924647763247776,0.9180284397767233,0.24477396751951289,0.3071436066852131
2000-03-22,9.000992849109506,0.7629875212355894,-0.09265172951645116,,-0.0429567270740992,0.8794279534648809,0.2988154390679614,0.24477396751951289
2000-03-23,8.95725470345778,0.7592799680918766,-0.0048711024844981425,,-0.013890812785072856,0.867296437780691,0.29734812478181777,0.2988154390679614
2000-03-24,9.142011439554487,0.7749412497381509,0.020416645892333787,,0.02119137748644379,0.8858717672588035,0.2829728239748875,0.29734812478181777
2000-03-27,8.78748090010662,0.7448887453055532,-0.03955234762276144,,-0.025509453567115096,0.8635594598619122,0.291071632681995,0.2829728239748875
2000-03-28,8.720782731182455,0.7392349389497981,-0.007619086961856237,,-0.018092689272423565,0.8480758394250858,0.28545814518716356,0.291071632681995
2000-03-29,8.909978873463169,0.7552725359178235,0.021462873733150273,,0.01492993147071717,0.8608325450017397,0.2979449141853006,0.28545814518716356
2000-03-30,9.090372743027903,0.7705639902820951,0.020044042806438556,,0.02595183345726306,0.8834651362278088,0.3109199466211112,0.2979449141853006
2000-03-31,8.762967712470546,0.7428108349477106,-0.036681285644606605,,-0.02112342931670035,0.864999043100062,0.3191698785525606,0.3109199466211112
2000-04-03,8.81203104382406,0.7469697883210245,0.005583324299494427,,0.016795833160474182,0.8796501167858459,0.351993574778768,0.3191698785525606
