x,normal_cdf,logistic_cdf
-0.28456782779819334,1.2483103563142358e-18,9.169317225993704e-11
-0.2838409831226223,1.519498941757893e-18,9.725739756502751e-11
-0.28311413844705124,1.848697001220697e-18,1.0315927727207149e-10
-0.28238729377148025,2.248115347596767e-18,1.0941930129455678e-10
-0.2816604490959092,2.732492482760348e-18,1.1605920293729947e-10
-0.28093360442033816,3.3196087874785817e-18,1.2310203434927165e-10
-0.2802067597447671,4.030903418187835e-18,1.305722465551464e-10
-0.27947991506919606,4.892214037153235e-18,1.3849577434339958e-10
-0.278753070393625,5.934663368014619e-18,1.469001263056895e-10
-0.278026225718054,7.195721161020545e-18,1.5581448034009914e-10
-0.277299381042483,8.720475604992923e-18,1.6526978494981652e-10
-0.2765725363669119,1.0563154693845985e-17,1.752988666889228e-10
-0.2758456916913409,1.2788945730122463e-17,1.859365441283352e-10
-0.27511884701576983,1.547617024536227e-17,1.972197487375466e-10
-0.27439200234019884,1.871888239493784e-17,2.0918765310184657e-10
-0.2736651576646278,2.2629971646544442e-17,2.218818069201597e-10
-0.27293831298905674,2.734486568346798e-17,2.3534628125565277e-10
-0.2722114683134857,3.302594730534088e-17,2.4962782153991526e-10
-0.27148462363791465,3.9867820222698564e-17,2.6477600986190757e-10
-0.27075777896234365,4.8103583585442275e-17,2.808434371050989e-10
-0.2700309342867726,5.801230453754384e-17,2.9788588553043305e-10
-0.26930408961120156,6.992791284633966e-17,3.159625224389744e-10
-0.2685772449356305,8.424978264666524e-17,3.3513610558661743e-10
-0.26785040026005946,1.0145531465941944e-16,3.554732010639846e-10
-0.2671235555844884,1.2211488916876541e-16,3.7704441439796305e-10
-0.2663967109089174,1.4690962706671282e-16,3.9992463567718363e-10
-0.2656698662333464,1.7665247514588007e-16,4.2419329955248684e-10
-0.2649430215577753,2.123132245823841e-16,4.49934661014998e-10
-0.2642161768822043,2.550481805857208e-16,4.772380879092982e-10
-0.26348933220663323,3.062353292829299e-16,5.06198371197178e-10
-0.26276248753106224,3.675159982962541e-16,5.369160540491547e-10
-0.2620356428554912,4.408441839490382e-16,5.694977809063039e-10
-0.26130879817992014,5.2854492500021e-16,6.040566677242082e-10
-0.2605819535043491,6.333833453943228e-16,6.407126946844818e-10
-0.25985510882877805,7.586462726891686e-16,6.795931227372224e-10
-0.259128264153207,9.082386715289586e-16,7.208329354205722e-10
-0.258401419477636,1.0867975208327222e-15,7.645753074912291e-10
-0.25767457480206496,1.2998262186331896e-15,8.109721019929366e-10
-0.2569477301264939,1.5538531306040671e-15,8.601843974885789e-10
-0.25622088545092286,1.8566185198669575e-15,9.123830472864087e-10
-0.2554940407753518,2.217294821293797e-15,9.677492726018112e-10
-0.2547671960997808,2.6467460701593126e-15,1.0264752917139526e-09
-0.2540403514242098,3.157833282264728e-15,1.0887649873016508e-09
-0.25331350674863873,3.765773733247503e-15,1.154834614275178e-09
-0.2525866620730677,4.488563424963042e-15,1.2249135505615416e-09
-0.25185981739749663,5.347473586909499e-15,1.2992450934496952e-09
-0.2511329727219256,6.3676338757091644e-15,1.3780873042604842e-09
-0.2504061280463546,7.578717046109067e-15,1.4617139042737255e-09
-0.24967928337078354,9.015742319481728e-15,1.5504152250229655e-09
-0.2489524386952125,1.0720017524192828e-14,1.6444992162569812e-09
-0.24822559401964145,1.2740243388444237e-14,1.7442925150675797e-09
-0.24749874934407043,1.513380720166752e-14,1.850141579895351e-09
-0.24677190466849938,1.796829750737416e-14,1.9624138933503704e-09
-0.24604505999292836,2.132327664302134e-14,2.081499238023799e-09
-0.2453182153173573,2.5292353909487136e-14,2.2078110497196705e-09
-0.24459137064178627,2.998560905885947e-14,2.3417878528049593e-09
-0.24386452596621525,3.553242377757263e-14,2.4838947826611273e-09
-0.2431376812906442,4.208478807665754e-14,2.634625200522732e-09
-0.24241083661507318,4.9821159170261095e-14,2.7945024063094282e-09
-0.24168399193950213,5.895096274330414e-14,2.9640814553979073e-09
-0.24095714726393108,6.97198407261174e-14,3.143951085641161e-09
-0.24023030258836006,8.241576609070671e-14,3.334735761325234e-09
-0.23950345791278901,9.737616408306192e-14,3.5370978411595716e-09
-0.238776613237218,1.1499620107785652e-13,3.751739877827721e-09
-0.23804976856164695,1.3573842730785997e-13,3.979407057081864e-09
-0.2373229238860759,1.6014398856150193e-13,4.220889784849148e-09
-0.23659607921050485,1.888456551075647e-13,4.477026431331537e-09
-0.23586923453493383,2.225829542215581e-13,4.748706241626257e-09
-0.23514238985936278,2.6221973646686153e-13,5.036872422971517e-09
-0.23441554518379176,3.0876455613688936e-13,5.3425254193358964e-09
-0.23368870050822071,3.6339430391545704e-13,5.66672638471991e-09
-0.23296185583264967,4.274815959109436e-13,6.010600867228197e-09
-0.23223501115707865,5.026264989584701e-13,6.37534271670259e-09
-0.2315081664815076,5.906932588172838e-13,6.762218229482383e-09
-0.23078132180593658,6.938527971543179e-13,7.172570544681434e-09
