x,predicted_label,score_D,score_U,score_H
-0.28456782779819334,D,5.045670073575835e-08,1.439221899548278e-08,1.2278634290951946e-11
-0.2844226042683656,D,5.0972234604783605e-08,1.45497571223608e-08,1.2458225470833579e-11
-0.2842773807385378,D,5.1493035864759876e-08,1.4709019671400473e-08,1.2640443407985319e-11
-0.28413215720871005,D,5.2019158334473506e-08,1.4870025518234381e-08,1.2825326522188006e-11
-0.2839869336788823,D,5.2550656382596406e-08,1.5032793745108808e-08,1.3012913795162183e-11
-0.28384171014905446,D,5.30875849333044e-08,1.5197343643145586e-08,1.320324477878744e-11
-0.2836964866192267,D,5.3629999471952445e-08,1.536369471462823e-08,1.3396359603441489e-11
-0.28355126308939893,D,5.417795605080939e-08,1.553186667531355e-08,1.3592298986461752e-11
-0.28340603955957117,D,5.473151129484966e-08,1.570187945676838e-08,1.3791104240730237e-11
-0.2832608160297434,D,5.5290722407604926e-08,1.5873753208731564e-08,1.3992817283384198e-11
-0.28311559249991564,D,5.58556471770755e-08,1.6047508301502285e-08,1.4197480644654163e-11
-0.28297036897008787,D,5.6426343981701947e-08,1.62231653283543e-08,1.440513747683118e-11
-0.2828251454402601,D,5.700287179639795e-08,1.6400745107976554e-08,1.461583156336549e-11
-0.2826799219104323,D,5.758529019864477e-08,1.658026868694091e-08,1.482960732809783e-11
-0.2825346983806045,D,5.817365937464716e-08,1.6761757342195954e-08,1.5046509844625742e-11
-0.28238947485077676,D,5.876804012555407e-08,1.69452325835893e-08,1.52665848458079e-11
-0.282244251320949,D,5.9368493873740996e-08,1.7130716156416656e-08,1.548987873340594e-11
-0.2820990277911212,D,5.997508266915718e-08,1.731823004399902e-08,1.5716438587868357e-11
-0.28195380426129346,D,6.05878691957387e-08,1.7507796470288377e-08,1.5946312178257145e-11
-0.2818085807314657,D,6.120691677788475e-08,1.7699437902501282e-08,1.6179547972319606e-11
-0.28166335720163793,D,6.183228938700242e-08,1.7893177053781917e-08,1.6416195146707798e-11
-0.2815181336718101,D,6.246405164811738e-08,1.8089036885893997e-08,1.6656303597346947e-11
-0.28137291014198235,D,6.310226884655118e-08,1.82870406119419e-08,1.6899923949955466e-11
