,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
227,DHHUD,H,7,9,0.0014129995962858296,0.7777777777777778,0.033151164172621296,0.0008547775335556254
433,UHUDD,U,15,20,0.0030278562777553493,0.75,0.04765387925779508,0.001703169156237384
505,HDDHD,U,8,11,0.0016148566814695195,0.7272727272727273,0.03427012143087508,0.0008541390711904897
710,HHHDH,H,21,29,0.004238998788857489,0.7241379310344828,0.055404149777980895,0.0022228281401737845
576,HUDUD,D,7,10,0.0014129995962858296,0.7,0.0314499557614964,0.0006923698021800564
604,HUUUD,U,7,11,0.0014129995962858296,0.6363636363636364,0.029986356252015695,0.0005722064480826913
473,UHHUU,H,15,24,0.0030278562777553493,0.625,0.04350184103686985,0.0011827563584981833
698,HHUHU,H,15,24,0.0030278562777553493,0.625,0.04350184103686985,0.0011827563584981833
695,HHUHD,H,13,21,0.0026241421073879695,0.6190476190476191,0.040304701011434435,0.0010056236193845055
431,UHDHH,H,11,18,0.0022204279370205892,0.6111111111111112,0.03683650612822563,0.0008292338900601585
