,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
728,HHHHH,H,37,62,0.007468712151796528,0.5967741935483871,0.06676177552487211,0.0026599029489618752
710,HHHDH,H,21,29,0.004238998788857489,0.7241379310344828,0.055404149777980895,0.0022228281401737845
701,HHUHH,H,25,50,0.005046427129592248,0.5,0.050231599265762227,0.001261606782398062
279,UDUUD,D,20,33,0.004037141703673799,0.6060606060606061,0.049464659583192225,0.0014828803319279337
433,UHUDD,U,15,20,0.0030278562777553493,0.75,0.04765387925779508,0.001703169156237384
692,HHUUH,H,20,36,0.004037141703673799,0.5555555555555556,0.04735880596088757,0.0012460313900227776
647,HUHHH,H,23,48,0.004642712959224869,0.4791666666666667,0.04716601841328052,0.0010659701195442517
404,UUHHH,H,18,31,0.0036334275333064193,0.5806451612903226,0.04593182030045625,0.0012250057448400416
719,HHHUH,H,21,43,0.004238998788857489,0.4883720930232558,0.04549954627067591,0.0010110321611066266
724,HHHHU,U,22,48,0.0044408558740411785,0.4583333333333333,0.045115321960529184,0.000932888126317678
