antecedent,consequent,support,confidence,lambda,utility
DDDDD,D,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
DDDDD,U,0.0014129995962858296,0.5384615384615384,0.0,0.0014129995962858296
DDDDD,H,0.0004037141703673799,0.15384615384615385,0.0,0.0004037141703673799
DDDDU,D,0.0022204279370205892,0.4074074074074074,0.0,0.0022204279370205892
DDDDU,U,0.0024222850222042794,0.4444444444444444,0.0,0.0024222850222042794
DDDDU,H,0.0008074283407347598,0.14814814814814814,0.0,0.0008074283407347598
DDDDH,D,0.0012111425111021397,0.4,0.0,0.0012111425111021397
DDDDH,U,0.0010092854259184498,0.3333333333333333,0.0,0.0010092854259184498
DDDDH,H,0.0008074283407347598,0.26666666666666666,0.0,0.0008074283407347598
DDDUD,D,0.0024222850222042794,0.4,0.0,0.0024222850222042794
DDDUD,U,0.002825999192571659,0.4666666666666667,0.0,0.002825999192571659
DDDUD,H,0.0008074283407347598,0.13333333333333333,0.0,0.0008074283407347598
DDDUU,D,0.0020185708518368995,0.30303030303030304,0.0,0.0020185708518368995
DDDUU,U,0.0026241421073879695,0.3939393939393939,0.0,0.0026241421073879695
DDDUU,H,0.0020185708518368995,0.30303030303030304,0.0,0.0020185708518368995
DDDUH,D,0.0012111425111021397,0.375,0.0,0.0012111425111021397
DDDUH,U,0.0018167137666532096,0.5625,0.0,0.0018167137666532096
DDDUH,H,0.00020185708518368994,0.0625,0.0,0.00020185708518368994
DDDHD,D,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
DDDHD,U,0.0012111425111021397,0.46153846153846156,0.0,0.0012111425111021397
DDDHD,H,0.0006055712555510698,0.23076923076923078,0.0,0.0006055712555510698
DDDHU,D,0.0016148566814695195,0.4444444444444444,0.0,0.0016148566814695195
DDDHU,U,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
DDDHU,H,0.0006055712555510698,0.16666666666666666,0.0,0.0006055712555510698
DDDHH,D,0.0012111425111021397,0.3333333333333333,0.0,0.0012111425111021397
DDDHH,U,0.0018167137666532096,0.5,0.0,0.0018167137666532096
DDDHH,H,0.0006055712555510698,0.16666666666666666,0.0,0.0006055712555510698
DDUDD,D,0.003229713362939039,0.41025641025641024,0.0,0.003229713362939039
DDUDD,U,0.003431570448122729,0.4358974358974359,0.0,0.003431570448122729
DDUDD,H,0.0012111425111021397,0.15384615384615385,0.0,0.0012111425111021397
DDUDU,D,0.0014129995962858296,0.20588235294117646,0.0,0.0014129995962858296
DDUDU,U,0.0036334275333064193,0.5294117647058824,0.0,0.0036334275333064193
DDUDU,H,0.0018167137666532096,0.2647058823529412,0.0,0.0018167137666532096
DDUDH,D,0.0012111425111021397,0.2727272727272727,0.0,0.0012111425111021397
DDUDH,U,0.0020185708518368995,0.45454545454545453,0.0,0.0020185708518368995
DDUDH,H,0.0012111425111021397,0.2727272727272727,0.0,0.0012111425111021397
DDUUD,D,0.0020185708518368995,0.37037037037037035,0.0,0.0020185708518368995
DDUUD,U,0.0018167137666532096,0.3333333333333333,0.0,0.0018167137666532096
DDUUD,H,0.0016148566814695195,0.2962962962962963,0.0,0.0016148566814695195
DDUUU,D,0.0024222850222042794,0.3870967741935484,0.0,0.0024222850222042794
DDUUU,U,0.0020185708518368995,0.3225806451612903,0.0,0.0020185708518368995
DDUUU,H,0.0018167137666532096,0.2903225806451613,0.0,0.0018167137666532096
DDUUH,D,0.0012111425111021397,0.2857142857142857,0.0,0.0012111425111021397
DDUUH,U,0.0020185708518368995,0.47619047619047616,0.0,0.0020185708518368995
DDUUH,H,0.0010092854259184498,0.23809523809523808,0.0,0.0010092854259184498
DDUHD,D,0.0016148566814695195,0.4,0.0,0.0016148566814695195
DDUHD,U,0.0016148566814695195,0.4,0.0,0.0016148566814695195
DDUHD,H,0.0008074283407347598,0.2,0.0,0.0008074283407347598
DDUHU,D,0.0024222850222042794,0.41379310344827586,0.0,0.0024222850222042794
DDUHU,U,0.0018167137666532096,0.3103448275862069,0.0,0.0018167137666532096
DDUHU,H,0.0016148566814695195,0.27586206896551724,0.0,0.0016148566814695195
DDUHH,D,0.0010092854259184498,0.29411764705882354,0.0,0.0010092854259184498
DDUHH,U,0.0012111425111021397,0.35294117647058826,0.0,0.0012111425111021397
DDUHH,H,0.0012111425111021397,0.35294117647058826,0.0,0.0012111425111021397
DDHDD,D,0.0008074283407347598,0.36363636363636365,0.0,0.0008074283407347598
DDHDD,U,0.0010092854259184498,0.45454545454545453,0.0,0.0010092854259184498
DDHDD,H,0.0004037141703673799,0.18181818181818182,0.0,0.0004037141703673799
DDHDU,D,0.0014129995962858296,0.4666666666666667,0.0,0.0014129995962858296
DDHDU,U,0.0008074283407347598,0.26666666666666666,0.0,0.0008074283407347598
DDHDU,H,0.0008074283407347598,0.26666666666666666,0.0,0.0008074283407347598
DDHDH,D,0.0006055712555510698,0.3333333333333333,0.0,0.0006055712555510698
DDHDH,U,0.0004037141703673799,0.2222222222222222,0.0,0.0004037141703673799
DDHDH,H,0.0008074283407347598,0.4444444444444444,0.0,0.0008074283407347598
DDHUD,D,0.0018167137666532096,0.47368421052631576,0.0,0.0018167137666532096
DDHUD,U,0.0016148566814695195,0.42105263157894735,0.0,0.0016148566814695195
DDHUD,H,0.0004037141703673799,0.10526315789473684,0.0,0.0004037141703673799
DDHUU,D,0.0014129995962858296,0.3181818181818182,0.0,0.0014129995962858296
DDHUU,U,0.0014129995962858296,0.3181818181818182,0.0,0.0014129995962858296
DDHUU,H,0.0016148566814695195,0.36363636363636365,0.0,0.0016148566814695195
DDHUH,D,0.0012111425111021397,0.375,0.0,0.0012111425111021397
DDHUH,U,0.0008074283407347598,0.25,0.0,0.0008074283407347598
DDHUH,H,0.0012111425111021397,0.375,0.0,0.0012111425111021397
DDHHD,D,0.0016148566814695195,0.5,0.0,0.0016148566814695195
