,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF,usefulness_lambda_0.00,usefulness_lambda_0.05,usefulness_lambda_0.10,usefulness_lambda_0.15,usefulness_lambda_0.20,usefulness_lambda_0.25,usefulness_lambda_0.30,usefulness_lambda_0.35,usefulness_lambda_0.40,usefulness_lambda_0.45,usefulness_lambda_0.50,usefulness_lambda_0.55,usefulness_lambda_0.60,usefulness_lambda_0.65,usefulness_lambda_0.70,usefulness_lambda_0.75,usefulness_lambda_0.80,usefulness_lambda_0.85,usefulness_lambda_0.90,usefulness_lambda_0.95,usefulness_lambda_1.00
0,DDDDD,D,4,13,0.0008074283407347598,0.3076923076923077,0.01576196337569813,7.644291983287667e-05,0.0008074283407347598,0.0010868124918727738,0.0014628683845997405,0.0019690461111409184,0.0026503700733542107,0.003567443893765113,0.004801841094989276,0.006463361047338717,0.008699795599618601,0.011710075132860934,0.01576196337569813,0.021215874931466126,0.028556934081042176,0.03843812648515804,0.05173838212099437,0.06964075591799815,0.09373766024396482,0.1261725096487947,0.1698303771359618,0.22859462079676982,0.3076923076923077
1,DDDDD,U,7,13,0.0014129995962858296,0.5384615384615384,0.027583435907471726,0.00040968627347932337,0.0014129995962858296,0.001901921860777354,0.002560019673049546,0.003445830694496607,0.00463814762836987,0.006243026814088948,0.008403221916231232,0.011310881832842755,0.01522464229933255,0.020492631482506636,0.027583435907471723,0.03712778113006572,0.0499746346418238,0.06726672134902657,0.09054216871174013,0.12187132285649677,0.16404090542693844,0.22080189188539068,0.2972031599879332,0.40004058639434714,0.5384615384615384
2,DDDDD,H,2,13,0.0004037141703673799,0.15384615384615385,0.007880981687849065,9.555364979109583e-06,0.0004037141703673799,0.0005434062459363869,0.0007314341922998701,0.000984523055570459,0.0013251850366771056,0.0017837219468825568,0.0024009205474946377,0.0032316805236693594,0.0043498977998093005,0.005855037566430467,0.007880981687849066,0.010607937465733063,0.014278467040521088,0.019219063242579024,0.02586919106049718,0.034820377958999074,0.04686883012198241,0.06308625482439735,0.0849151885679809,0.11429731039838491,0.15384615384615385
3,DDDDU,D,11,27,0.0022204279370205892,0.4074074074074074,0.030076881307019455,0.00036854839558229257,0.0022204279370205892,0.002881484546668935,0.003739348192417777,0.004852611449991105,0.006297310834100012,0.008172120135714986,0.010605089898202998,0.013762393342389023,0.017859676092206227,0.023176784893662435,0.030076881307019455,0.039031245848249616,0.05065146671676215,0.0657312116178408,0.08530043571906176,0.11069572817499829,0.14365160192792373,0.18641896192990984,0.24191884323337928,0.3139419193492803,0.4074074074074074
4,DDDDU,U,12,27,0.0024222850222042794,0.4444444444444444,0.03281114324402123,0.00047847605376874654,0.0024222850222042794,0.0031434376872752023,0.0040792889371830295,0.005293757945444842,0.006869793637200012,0.008915040148052713,0.011569188979857817,0.015013520009878935,0.01948328300967952,0.02528376533854084,0.03281114324402122,0.04257954092536321,0.05525614550919508,0.07170677631037178,0.09305502078443102,0.12075897619090724,0.1567108384668259,0.20336614028717437,0.2639114653455047,0.3424820938355785,0.4444444444444444
5,DDDDU,H,4,27,0.0008074283407347598,0.14814814814814814,0.010937047748007075,1.772133532476839e-05,0.0008074283407347598,0.0010478125624250674,0.0013597629790610096,0.0017645859818149474,0.002289931212400004,0.0029716800493509044,0.003856396326619273,0.005004506669959645,0.006494427669893173,0.008427921779513613,0.010937047748007075,0.014193180308454404,0.018418715169731693,0.02390225877012393,0.03101834026147701,0.040252992063635744,0.052236946155608636,0.06778871342905812,0.08797048844850155,0.11416069794519283,0.14814814814814814
6,DDDDH,D,6,15,0.0012111425111021397,0.4,0.02201038401393433,0.00019378280177634238,0.0012111425111021397,0.001618596083848617,0.002163125527041414,0.002890846019231951,0.003863386845764504,0.005163110667510315,0.006900088660338043,0.009221422236816792,0.012323700789301647,0.016469650477328127,0.02201038401393433,0.02941513574363658,0.039311000220113995,0.05253603966930909,0.0702102579095153,0.09383045137679841,0.12539697001142253,0.16758312314730897,0.2239615770719813,0.29930691744226773,0.4
7,DDDDH,U,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997,0.0010092854259184498,0.0013488300698738477,0.0018026046058678452,0.002409038349359959,0.0032194890381370867,0.004302592222925263,0.005750073883615036,0.007684518530680661,0.010269750657751372,0.013724708731106771,0.018341986678278605,0.02451261311969715,0.03275916685009499,0.043780033057757566,0.05850854825792942,0.07819204281399868,0.1044974750095188,0.13965260262275747,0.1866346475599844,0.24942243120188975,0.3333333333333333
8,DDDDH,H,4,15,0.0008074283407347598,0.26666666666666666,0.014673589342622886,5.741712645224958e-05,0.0008074283407347598,0.0010790640558990781,0.0014420836846942761,0.001927230679487967,0.002575591230509669,0.00344207377834021,0.004600059106892028,0.006147614824544528,0.008215800526201097,0.010979766984885416,0.014673589342622884,0.019610090495757716,0.02620733348007599,0.03502402644620605,0.04680683860634353,0.06255363425119895,0.08359798000761502,0.11172208209820597,0.14930771804798754,0.19953794496151178,0.26666666666666666
9,DDDUD,D,12,30,0.0024222850222042794,0.4,0.03112738358554589,0.00038756560355268475,0.0024222850222042794,0.0031269215184897294,0.004036534963130168,0.005210752624338945,0.0067265471896222504,0.008683282503735274,0.011209227098860124,0.01446996249399588,0.01867923744706177,0.024112979681080154,0.03112738358554589,0.04018225958370271,0.0518711757708354,0.06696036767778422,0.08643896678480546,0.11158384038120554,0.1440432931737336,0.18594511747804027,0.2400360749335263,0.30986195309106673,0.4
