lambda,rank,antecedent,consequent,support,confidence,usefulness
0.0,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.007468712151796528
0.0,2,HHUHH,H,0.005046427129592248,0.5,0.005046427129592248
0.0,3,HUHHH,H,0.004642712959224869,0.4791666666666667,0.004642712959224869
0.0,4,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.0044408558740411785
0.0,5,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.0044408558740411785
0.0,6,HHHDH,H,0.004238998788857489,0.7241379310344828,0.004238998788857489
0.0,7,HHHUH,H,0.004238998788857489,0.4883720930232558,0.004238998788857489
0.0,8,UDUUD,D,0.004037141703673799,0.6060606060606061,0.004037141703673799
0.0,9,HHUUH,H,0.004037141703673799,0.5555555555555556,0.004037141703673799
0.0,10,UDDUD,D,0.003835284618490109,0.4418604651162791,0.003835284618490109
0.05,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.009297665924760185
0.05,2,HHUHH,H,0.005046427129592248,0.5,0.006350140089704829
0.05,3,HUHHH,H,0.004642712959224869,0.4791666666666667,0.0058540654278855745
0.05,4,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.0055995408440644625
0.05,5,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.0055995408440644625
0.05,6,HHHDH,H,0.004238998788857489,0.7241379310344828,0.005481396178780132
0.05,7,HHHUH,H,0.004238998788857489,0.4883720930232558,0.005374495082028734
0.05,8,UDUUD,D,0.004037141703673799,0.6060606060606061,0.005186759326432465
0.05,9,HHUUH,H,0.004037141703673799,0.5555555555555556,0.005164242987832516
0.05,10,UDDUD,D,0.003835284618490109,0.4418604651162791,0.004862638407549806
0.1,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.011574497703416344
0.1,2,HHUHH,H,0.005046427129592248,0.5,0.007990659158122955
0.1,3,HUHHH,H,0.004642712959224869,0.4791666666666667,0.007381477669402742
0.1,4,HHHDH,H,0.004238998788857489,0.7241379310344828,0.007087924664598323
0.1,5,HHHHU,U,0.0044408558740411785,0.4583333333333333,0.007060543857689578
0.1,6,HHHHU,H,0.0044408558740411785,0.4583333333333333,0.007060543857689578
0.1,7,HHHUH,H,0.004238998788857489,0.4883720930232558,0.006814155612093551
0.1,8,UDUUD,D,0.004037141703673799,0.6060606060606061,0.006663742391269767
0.1,9,HHUUH,H,0.004037141703673799,0.5555555555555556,0.006606011776378357
0.1,10,UDDUD,D,0.003835284618490109,0.4418604651162791,0.006165188410941784
0.15,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.014408884785763661
0.15,2,HHUHH,H,0.005046427129592248,0.5,0.010054996091316501
0.15,3,HUHHH,H,0.004642712959224869,0.4791666666666667,0.0093074143524855
0.15,4,HHHDH,H,0.004238998788857489,0.7241379310344828,0.009165306504482907
