,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
0,DDDDD,D,11,25,0.0022204279370205892,0.44,0.031256811934185794,0.00042987484860718605
1,DDDDD,U,10,25,0.0020185708518368995,0.4,0.02841528357653254,0.000322971336293904
2,DDDDD,H,4,25,0.0008074283407347598,0.16,0.011366113430613015,2.067016552280985e-05
3,DDDDU,D,11,30,0.0022204279370205892,0.36666666666666664,0.028533434953417064,0.00029852420042165696
4,DDDDU,U,13,30,0.0026241421073879695,0.43333333333333335,0.03372133221767472,0.0004927555734984076
5,DDDDU,H,6,30,0.0012111425111021397,0.2,0.015563691792772946,4.8445700444085594e-05
6,DDDDH,D,2,15,0.0004037141703673799,0.13333333333333333,0.007336794671311443,7.1771408065311975e-06
7,DDDDH,U,7,15,0.0014129995962858296,0.4666666666666667,0.025678781349590053,0.00030771991208002514
8,DDDDH,H,6,15,0.0012111425111021397,0.4,0.02201038401393433,0.00019378280177634238
9,DDDUD,D,16,37,0.003229713362939039,0.43243243243243246,0.037371550751812005,0.000603949321338491
10,DDDUD,U,20,37,0.004037141703673799,0.5405405405405406,0.046714438439765006,0.0011795885182392402
11,DDDUD,H,1,37,0.00020185708518368994,0.02702702702702703,0.0023357219219882503,1.4744856477990502e-07
12,DDDUU,D,20,40,0.004037141703673799,0.5,0.044928508230709145,0.0010092854259184498
13,DDDUU,U,13,40,0.0026241421073879695,0.325,0.029203530349960947,0.0002771750100928543
14,DDDUU,H,7,40,0.0014129995962858296,0.175,0.0157249778807482,4.3273112636253525e-05
15,DDDUH,D,8,18,0.0016148566814695195,0.4444444444444444,0.026790186275073187,0.000318984035845831
16,DDDUH,U,7,18,0.0014129995962858296,0.3888888888888889,0.02344141299068904,0.00021369438338890635
17,DDDUH,H,3,18,0.0006055712555510698,0.16666666666666666,0.010046319853152446,1.6821423765307496e-05
18,DDDHD,D,2,8,0.0004037141703673799,0.25,0.010046319853152446,2.5232135647961242e-05
19,DDDHD,U,4,8,0.0008074283407347598,0.5,0.020092639706304892,0.00020185708518368994
20,DDDHD,H,2,8,0.0004037141703673799,0.25,0.010046319853152446,2.5232135647961242e-05
21,DDDHU,D,13,18,0.0026241421073879695,0.7222222222222222,0.04353405269699393,0.0013687654819400212
22,DDDHU,U,2,18,0.0004037141703673799,0.1111111111111111,0.006697546568768297,4.984125560091109e-06
23,DDDHU,H,3,18,0.0006055712555510698,0.16666666666666666,0.010046319853152446,1.6821423765307496e-05
24,DDDHH,D,6,10,0.0012111425111021397,0.6,0.02695710493842549,0.0004360113039967703
25,DDDHH,U,3,10,0.0006055712555510698,0.3,0.013478552469212745,5.4501412999596286e-05
26,DDDHH,H,1,10,0.00020185708518368994,0.1,0.004492850823070915,2.0185708518368998e-06
27,DDUDD,D,16,30,0.003229713362939039,0.5333333333333333,0.041503178114061186,0.0009186740232359933
28,DDUDD,U,9,30,0.0018167137666532096,0.3,0.02334553768915942,0.00016350423899878886
29,DDUDD,H,5,30,0.0010092854259184498,0.16666666666666666,0.01296974316064412,2.8035706275512492e-05
30,DDUDU,D,17,45,0.003431570448122729,0.37777777777777777,0.03600515321700072,0.0004897401775345524
31,DDUDU,U,18,45,0.0036334275333064193,0.4,0.038123103406236064,0.0005813484053290272
32,DDUDU,H,10,45,0.0020185708518368995,0.2222222222222222,0.021179501892353368,9.968251120182219e-05
33,DDUDH,D,4,11,0.0008074283407347598,0.36363636363636365,0.01713506071543754,0.00010676738389881121
