date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,g_reason,trade_cash,trade_shares
2019-09-20,,100000.0,0.0,89.70800018310547,100000.0,0,0,0,0,0.0,initial_no_trade,0.0,0.0
2019-09-23,2019-09-20,50000.5,560.1355552778762,89.26499938964844,100001.0,0,1,1,1,0.5,buy_use_aggressive_g,-50000.5,560.1355552778762
2019-09-24,2019-09-23,59756.376596284106,448.10844422230093,87.08049774169922,98777.88296142053,-1,0,0,-1,0.2,sell_use_conservative_g,9755.376591284106,-112.02711105557523
2019-09-25,2019-09-24,67681.00987809179,358.4867553778407,88.41649627685547,99377.15275025864,-1,1,-1,-1,0.2,sell_use_conservative_g,7924.035718041714,-89.6216888444602
2019-09-26,2019-09-25,67681.68668819057,358.4867553778407,86.99199676513672,98867.16535236406,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2019-09-27,2019-09-26,73867.87316008353,286.7894043022726,86.27249908447266,98609.9117801878,-1,1,-1,-1,0.2,sell_use_conservative_g,6185.509655026068,-71.69735107556815
2019-09-30,2019-09-27,78847.01788506244,229.4315234418181,86.79550170898438,98760.64207005165,-1,0,-1,-1,0.2,sell_use_conservative_g,4978.406046247303,-57.35788086045452
2019-10-01,2019-09-30,78847.8063552413,229.4315234418181,86.78250122070312,98758.44781839865,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2019-10-02,2019-10-01,78848.59483330484,229.4315234418181,85.6614990234375,98502.04305456192,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2019-10-03,2019-10-02,82805.74642659603,183.54521875345446,86.22100067138672,98631.19885596745,-1,1,-1,-1,0.2,sell_use_conservative_g,3956.3631073428555,-45.88630468836362
2019-10-04,2019-10-03,82806.5744840603,183.54521875345446,86.98249816894531,98771.79613820132,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2019-10-07,2019-10-04,85987.61725580749,146.83617500276358,86.63300323486328,98708.47607981686,-1,0,0,-1,0.2,sell_use_conservative_g,3180.214706002342,-36.709043750690896
2019-10-08,2019-10-07,88492.78270498746,117.46894000221087,85.27549743652344,98510.00499701712,-1,0,0,-1,0.2,sell_use_conservative_g,2504.3055730074148,-29.367235000552718
