,pJ_h_inf
2000-01-04,
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.021717092693351918
2000-01-11,0.10073610711054416
2000-01-12,0.09269727775919355
2000-01-13,0.14002125609698912
2000-01-14,0.13123181784985286
2000-01-18,0.13971772509518315
2000-01-19,0.14376250265006668
2000-01-20,0.13476539844617655
2000-01-21,0.1343377255704362
2000-01-24,0.1321028992897433
2000-01-25,0.119902044255501
2000-01-26,0.15189039908051
2000-01-27,0.21251351230327653
2000-01-28,0.18457478285170464
2000-01-31,0.18113746991483273
2000-02-01,0.1834567458401858
2000-02-02,0.19392046769582835
2000-02-03,0.20078149037317686
2000-02-04,0.19006202919810533
2000-02-07,0.17722761182339158
2000-02-08,0.17713473374289102
2000-02-09,0.17545272661271571
2000-02-10,0.17614409083333296
2000-02-11,0.16811837900796722
2000-02-14,0.18038296399984585
2000-02-15,0.18184391898263136
2000-02-16,0.17910855381425164
2000-02-17,0.18515933790166605
2000-02-18,0.18102768420897372
2000-02-22,0.178992095937586
2000-02-23,0.1797662198694678
2000-02-24,0.18426949676923918
2000-02-25,0.1770420072097566
2000-02-28,0.1748869213116624
2000-02-29,0.1767216484150374
2000-03-01,0.11929550864504268
2000-03-02,0.1039203412910188
2000-03-03,0.09783825328304614
2000-03-06,0.09749593573062484
2000-03-07,0.10156024195248146
2000-03-08,0.10389670326656202
2000-03-09,0.10537661942114979
2000-03-10,0.11493554290356783
2000-03-13,0.11235226560972596
2000-03-14,0.1056551554469883
2000-03-15,0.17822681105123703
2000-03-16,0.18026010073619994
2000-03-17,0.18156256048596908
2000-03-20,0.18060388904349883
2000-03-21,0.15898219143206835
2000-03-22,0.1858528805632346
2000-03-23,0.18517761619641504
2000-03-24,0.184822994626657
2000-03-27,0.19331221023574655
2000-03-28,0.19321575896473117
2000-03-29,0.21235677446694315
2000-03-30,0.22325855539620126
2000-03-31,0.22868512429060478
2000-04-03,0.24509257149507224
2000-04-04,0.26780965983397276
2000-04-05,0.30722049481985364
2000-04-06,0.3060911374201644
2000-04-07,0.30137644829474824
2000-04-10,0.29579888202669535
2000-04-11,0.3066295770411568
2000-04-12,0.30273305172002035
2000-04-13,0.304022391107828
2000-04-14,0.3035308817408613
2000-04-17,0.2866820436857433
2000-04-18,0.2858891209446497
2000-04-19,0.28475320648423785
2000-04-20,0.28466458586356186
2000-04-24,0.2844187591091306
2000-04-25,0.2785197744789916
2000-04-26,0.2734488492689893
2000-04-27,0.2747975426924572
2000-04-28,0.2744560504423809
2000-05-01,0.2756398498914588
2000-05-02,0.2724366868982456
2000-05-03,0.2815613368324153
2000-05-04,0.2799222685108467
2000-05-05,0.2828485223603189
2000-05-08,0.2865106696414933
2000-05-09,0.2923863516389524
2000-05-10,0.2983823701325512
2000-05-11,0.2967108404788881
2000-05-12,0.29754992405008396
2000-05-15,0.2926308966078964
2000-05-16,0.3016117608870854
2000-05-17,0.29951033267700633
2000-05-18,0.30130644046518185
2000-05-19,0.29827882784099097
2000-05-22,0.29769748239995947
2000-05-23,0.2953142736709808
2000-05-24,0.2997003139156407
2000-05-25,0.2996977616074668
2000-05-26,0.30295577198242835
2000-05-30,0.30330896043903743
2000-05-31,0.3015042187827478
2000-06-01,0.29788051884880645
2000-06-02,0.2973439254149602
2000-06-05,0.29728699982690904
2000-06-06,0.29703494260948604
2000-06-07,0.2954458633415481
2000-06-08,0.2951266866079377
2000-06-09,0.2953197809536678
2000-06-12,0.29371006974427216
2000-06-13,0.29223270063971496
2000-06-14,0.29029167276221
