x,normal_cdf,logistic_cdf
-0.731247968273122,1.9157469600048993e-167,1.5970529964104735e-29
-0.7301698176213763,5.86479998975945e-167,1.760835202311263e-29
-0.7290916669696308,1.7924787071523686e-166,1.941413726825132e-29
-0.7280135163178851,5.469410836496128e-166,2.1405110789231263e-29
-0.7269353656661396,1.6661451475750935e-165,2.360026415639572e-29
-0.7258572150143939,5.067232899810883e-165,2.6020536578202294e-29
-0.7247790643626484,1.5385607497262143e-164,2.868901463690045e-29
-0.7237009137109027,4.6638458213814925e-164,3.163115250766145e-29
-0.7226227630591572,1.411430430653419e-163,3.48750147617834e-29
-0.7215446124074115,4.264425452674923e-163,3.8451544070043994e-29
-0.7204664617556659,1.286315012525422e-162,4.239485635976628e-29
-0.7193883111039203,3.873645861902224e-162,4.6742566241063794e-29
-0.7183101604521747,1.164603944196246e-161,5.153614580644498e-29
-0.7172320098004291,3.495605139253566e-161,5.682132022631428e-29
-0.7161538591486835,1.0474957136904265e-160,6.264850391387988e-29
-0.7150757084969379,3.1337757500905353e-160,6.907328141998633e-29
-0.7139975578451923,9.359860050718022e-160,7.615693764504483e-29
-0.7129194071934467,2.790979048628292e-159,8.396704242565447e-29
-0.711841256541701,8.308633109648045e-159,9.257809507221563e-29
-0.7107631058899555,2.4693825505062915e-158,1.0207223500564152e-28
-0.7096849552382098,7.327114163772332e-158,1.1254002527185193e-28
-0.7086068045864642,2.1705177166245296e-157,1.240813164078269e-28
-0.7075286539347186,6.419179323967937e-157,1.3680619889952935e-28
-0.706450503282973,1.895315352827626e-156,1.5083605331702682e-28
-0.7053723526312274,5.586878869014623e-156,1.6630470814385782e-28
-0.7042942019794818,1.6441552954565524e-155,1.833597163450305e-28
-0.7032160513277362,4.830612760016341e-155,2.0216376285057863e-28
-0.7021379006759906,1.416926831517463e-154,2.2289621638048116e-28
-0.701059750024245,4.149334423959306e-154,2.4575484041348504e-28
-0.6999815993724994,1.2130962814343478e-153,2.709576796205641e-28
-0.6989034487207537,3.5407716932294643e-153,2.987451397573029e-28
-0.6978252980690082,1.031778328406617e-152,3.293822808550371e-28
-0.6967471474172625,3.001654524949613e-152,3.6316134558508555e-28
-0.695668996765517,8.718079799200645e-152,4.0040454691372337e-28
-0.6945908461137713,2.5279402653862688e-151,4.414671416389022e-28
-0.6935126954620258,7.318104579392233e-151,4.867408191266472e-28
-0.6924345448102801,2.115028652517169e-150,5.366574375718061e-28
-0.6913563941585346,6.1026679697638e-150,5.916931434225955e-28
-0.6902782435067889,1.757960345645631e-149,6.523729132636272e-28
-0.6892000928550432,5.055734469918925e-149,7.192755614815572e-28
-0.6881219422032977,1.4515944233313307e-148,7.930392614807093e-28
-0.687043791551552,4.1609469762038294e-148,8.743676331146963e-28
-0.6859656408998065,1.1907619019785718e-147,9.640364544009175e-28
-0.6848874902480608,3.4020723327640625e-147,1.0629010615400889e-27
-0.6838093395963153,9.703938171875638e-147,1.1719045078280773e-27
-0.6827311889445696,2.76336573109204e-146,1.2920865592869567e-27
-0.6816530382928241,7.856237186195332e-146,1.424593612822688e-27
-0.6805748876410784,2.229855299413751e-145,1.5706896315175415e-27
-0.6794967369893328,6.3186551765011815e-145,1.731768201366906e-27
-0.6784185863375872,1.7875512910377975e-144,1.9093658244678196e-27
-0.6773404356858416,5.0486847633016503e-144,2.1051765754609216e-27
-0.676262285034096,1.4235865829184844e-143,2.321068261030878e-27
-0.6751841343823504,4.0075173447130516e-143,2.559100236608625e-27
-0.6741059837306048,1.1262967511308048e-142,2.821543050225314e-27
-0.6730278330788592,3.160211518876539e-142,3.110900100898396e-27
-0.6719496824271136,8.852488581739346e-142,3.429931518144574e-27
-0.670871531775368,2.4757141873813664e-141,3.781680490403462e-27
-0.6697933811236223,6.912283561291155e-141,4.169502293513506e-27
-0.6687152304718768,1.9267638962337551e-140,4.597096296138873e-27
-0.6676370798201311,5.36193285528176e-140,5.068541247441201e-27
-0.6665589291683855,1.489704615772204e-139,5.588334183599702e-27
-0.6654807785166399,4.1320434533541085e-139,6.161433324303172e-27
-0.6644026278648943,1.1442357817550257e-138,6.793305368394993e-27
-0.6633244772131487,3.1633853632521745e-138,7.489977639818752e-27
-0.6622463265614031,8.731213588978167e-138,8.258095581273536e-27
-0.6611681759096575,2.405930417273149e-137,9.104986144004063e-27
-0.6600900252579118,6.618772531260484e-137,1.0038727678388134e-26
-0.6590118746061663,1.8178489563407806e-136,1.106822699199827e-26
-0.6579337239544206,4.984528511781842e-136,1.2203304310180271e-26
-0.6568555733026751,1.3645087582787159e-135,1.3454786949574117e-26
-0.6557774226509294,3.7291901472707906e-135,1.48346125981151e-26
-0.6546992719991839,1.0175100087908823e-134,1.6355943186682666e-26
-0.6536211213474382,2.7717165603807863e-134,1.803329043860452e-26
-0.6525429706956927,7.53780524285545e-134,1.988265429460828e-26
-0.651464820043947,2.046571775515148e-133,2.1921675533635953e-26
-0.6503866693922014,5.54747080214769e-133,2.416980404534469e-26
-0.6493085187404558,1.501236275615746e-132,2.6648484359418837e-26
-0.6482303680887103,4.05591700203291e-132,2.9381360201427434e-26
-0.6471522174369646,1.0939942932227923e-131,3.239450002644964e-26
-0.646074066785219,2.945961356999764e-131,3.5716645681797354e-26
-0.6449959161334734,7.919997253188255e-131,3.9379486570790445e-26
-0.6439177654817277,2.125734475393295e-130,4.34179619327855e-26
-0.6428396148299822,5.69611835989267e-130,4.7870594122857085e-26
-0.6417614641782365,1.5238246748573085e-129,5.277985607023443e-26
-0.640683313526491,4.069836948900064e-129,5.819257642061537e-26
-0.6396051628747453,1.0851881301712457e-128,6.416038622695257e-26
-0.6385270122229998,2.8888106678916437e-128,7.074021144960615e-26
-0.6374488615712541,7.677488023009094e-128,7.799481596376094e-26
-0.6363707109195085,2.037066675167912e-127,8.599340025375132e-26
-0.6352925602677629,5.396067489377559e-127,9.481226150514582e-26
-0.6342144096160173,1.4270379997966063e-126,1.0453552139110901e-25
-0.6331362589642717,3.767729741453595e-126,1.1525592849525868e-25
-0.6320581083125261,9.931389012968585e-126,1.2707574302522394e-25
-0.6309799576607805,2.613522796520425e-125,1.4010771225600616e-25
-0.6299018070090349,6.866392809151867e-125,1.5447614600778373e-25
-0.6288236563572893,1.801013856251614e-124,1.703181024169138e-25
-0.6277455057055437,4.716192519382596e-124,1.8778469531105903e-25
-0.626667355053798,1.2329687287527126e-123,2.0704253565923745e-25
-0.6255892044020525,3.218093579599344e-123,2.282753208465642e-25
-0.6245110537503068,8.385546090047221e-123,2.5168558693353347e-25
-0.6234329030985613,2.181474348545135e-122,2.7749664061431434e-25
-0.6223547524468156,5.665717992968745e-122,3.0595468930275604e-25
-0.62127660179507,1.4690814841089046e-121,3.3733118966455686e-25
-0.6201984511433244,3.802970075238318e-121,3.7192543699797386e-25
-0.6191203004915788,9.828472514431622e-121,4.1006742016262156e-25
-0.6180421498398332,2.535918242112246e-120,4.521209692891893e-25
-0.6169639991880875,6.532366959295727e-120,4.984872262954462e-25
-0.615885848536342,1.6799331846129887e-119,5.49608471313319e-25
-0.6148076978845963,4.3131996269409967e-119,6.05972341526628e-25
-0.6137295472328508,1.1055877750206491e-118,6.681164826623012e-25
-0.6126513965811051,2.829261046976864e-118,7.3663367750495975e-25
-0.6115732459293596,7.228346133460864e-118,8.121775003547468e-25
