,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
0,DDDDD,D,3,12,0.0006056935190793458,0.25,0.012305420747371317,3.7855844942459115e-05
1,DDDDD,U,6,12,0.0012113870381586917,0.5,0.024610841494742634,0.0003028467595396729
2,DDDDD,H,3,12,0.0006056935190793458,0.25,0.012305420747371317,3.7855844942459115e-05
3,DDDDU,D,10,23,0.0020189783969311527,0.43478260869565216,0.029627971485032392,0.0003816594323121272
4,DDDDU,U,10,23,0.0020189783969311527,0.43478260869565216,0.029627971485032392,0.0003816594323121272
5,DDDDU,H,3,23,0.0006056935190793458,0.13043478260869565,0.008888391445509717,1.0304804672427433e-05
6,DDDDH,D,3,12,0.0006056935190793458,0.25,0.012305420747371317,3.7855844942459115e-05
7,DDDDH,U,8,12,0.0016151827175449223,0.6666666666666666,0.03281445532632351,0.000717858985575521
8,DDDDH,H,1,12,0.0002018978396931153,0.08333333333333333,0.004101806915790439,1.4020683312021894e-06
9,DDDUD,D,14,34,0.002826569755703614,0.4117647058823529,0.034115709931250925,0.000479245391105457
10,DDDUD,U,15,34,0.0030284675953967293,0.4411764705882353,0.0365525463549117,0.0005894508728064568
11,DDDUD,H,5,34,0.0010094891984655764,0.14705882352941177,0.012184182118303901,2.183151380764655e-05
12,DDDUU,D,13,33,0.0026246719160104987,0.3939393939393939,0.032155274277836966,0.0004073182312266063
13,DDDUU,U,11,33,0.002220876236624268,0.3333333333333333,0.027208309004323587,0.00024676402629158535
14,DDDUU,H,9,33,0.0018170805572380376,0.2727272727272727,0.022261343730810207,0.00013515475219125897
15,DDDUH,D,6,15,0.0012113870381586917,0.4,0.022012605826286825,0.0001938219261053907
16,DDDUH,U,5,15,0.0010094891984655764,0.3333333333333333,0.018343838188572353,0.00011216546649617514
17,DDDUH,H,4,15,0.0008075913587724611,0.26666666666666666,0.014675070550857884,5.742871884604168e-05
18,DDDHD,D,4,8,0.0008075913587724611,0.5,0.020094667934211566,0.0002018978396931153
