,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
432,UHUDD,D,10,12,0.0020189783969311527,0.8333333333333334,0.04101806915790439,0.0014020683312021896
647,HUHHH,H,24,36,0.004845548152634767,0.6666666666666666,0.056836303847891484,0.002153576956726563
371,UUUHD,H,12,18,0.0024227740763173833,0.6666666666666666,0.04018933586842313,0.0010767884783632815
7,DDDDH,U,8,12,0.0016151827175449223,0.6666666666666666,0.03281445532632351,0.000717858985575521
589,HUDHU,U,8,12,0.0016151827175449223,0.6666666666666666,0.03281445532632351,0.000717858985575521
638,HUHUH,H,13,20,0.0026246719160104987,0.65,0.041304197672958426,0.0011089238845144358
454,UHUHU,U,10,16,0.0020189783969311527,0.625,0.035522689904932174,0.0007886634363012316
430,UHDHH,U,13,21,0.0026246719160104987,0.6190476190476191,0.040308769522120765,0.0010058266526208033
725,HHHHU,H,22,36,0.004441752473248536,0.6111111111111112,0.05209994519390053,0.001658802621182324
522,HDUUD,D,12,20,0.0024227740763173833,0.6,0.03812695169811547,0.000872198667474258
