,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
0,DDDDD,D,11,25,0.002220876236624268,0.44,0.03125996711634032,0.00042996163941045825
1,DDDDD,U,10,25,0.0020189783969311527,0.4,0.028418151923945742,0.00032303654350898447
2,DDDDD,H,4,25,0.0008075913587724611,0.16,0.011367260769578297,2.0674338784575008e-05
3,DDDDU,D,11,30,0.002220876236624268,0.36666666666666664,0.028536315227482185,0.0002985844718128182
4,DDDDU,U,13,30,0.0026246719160104987,0.43333333333333335,0.03372473617793349,0.0004928550597841937
5,DDDDU,H,6,30,0.0012113870381586917,0.2,0.01556526285135392,4.8455481526347675e-05
6,DDDDH,D,2,15,0.0004037956793862306,0.13333333333333333,0.007337535275428942,7.17858985575521e-06
7,DDDDH,U,7,15,0.001413284877851807,0.4666666666666667,0.025681373464001296,0.00030778204006550467
8,DDDDH,H,6,15,0.0012113870381586917,0.4,0.022012605826286825,0.0001938219261053907
9,DDDUD,D,16,37,0.0032303654350898446,0.43243243243243246,0.03737532317909177,0.0006040712574017533
10,DDDUD,U,20,37,0.004037956793862305,0.5405405405405406,0.04671915397386471,0.0011798266746127994
11,DDDUD,H,1,37,0.0002018978396931153,0.02702702702702703,0.0023359576986932357,1.4747833432659993e-07
12,DDDUU,D,20,40,0.004037956793862305,0.5,0.044933043486182336,0.0010094891984655764
13,DDDUU,U,13,40,0.0026246719160104987,0.325,0.029206478266018517,0.00027723097112860895
14,DDDUU,H,7,40,0.001413284877851807,0.175,0.01572656522016382,4.328184938421158e-05
15,DDDUH,D,8,18,0.0016151827175449223,0.4444444444444444,0.026792890578948757,0.0003190484380335649
16,DDDUH,U,7,18,0.001413284877851807,0.3888888888888889,0.02344377925658016,0.0002137375278232671
17,DDDUH,H,3,18,0.0006056935190793458,0.16666666666666666,0.010047333967105783,1.6824819974426273e-05
18,DDDHD,D,2,8,0.0004037956793862306,0.25,0.010047333967105783,2.523722996163941e-05
19,DDDHD,U,4,8,0.0008075913587724611,0.5,0.020094667934211566,0.0002018978396931153
20,DDDHD,H,2,8,0.0004037956793862306,0.25,0.010047333967105783,2.523722996163941e-05
21,DDDHU,D,13,18,0.0026246719160104987,0.7222222222222222,0.04353844719079173,0.001369041832733871
22,DDDHU,U,2,18,0.0004037956793862306,0.1111111111111111,0.006698222644737189,4.985131844274451e-06
23,DDDHU,H,3,18,0.0006056935190793458,0.16666666666666666,0.010047333967105783,1.6824819974426273e-05
24,DDDHH,D,6,10,0.0012113870381586917,0.6,0.0269598260917094,0.000436099333737129
25,DDDHH,U,3,10,0.0006056935190793458,0.3,0.0134799130458547,5.451241671714112e-05
26,DDDHH,H,1,10,0.0002018978396931153,0.1,0.004493304348618233,2.018978396931153e-06
27,DDUDD,D,16,30,0.0032303654350898446,0.5333333333333333,0.04150736760361045,0.0009188595015366669
28,DDUDD,U,9,30,0.0018170805572380376,0.3,0.02334789427703088,0.00016353725015142337
29,DDUDD,H,5,30,0.0010094891984655764,0.16666666666666666,0.012971052376128264,2.8041366624043785e-05
30,DDUDU,D,17,45,0.00343226327478296,0.37777777777777777,0.03600878771488683,0.0004898390550184075
31,DDUDU,U,18,45,0.0036341611144760752,0.4,0.03812695169811547,0.0005814657783161721
32,DDUDU,H,10,45,0.0020189783969311527,0.2222222222222222,0.02118163983228637,9.970263688548901e-05
33,DDUDH,D,4,11,0.0008075913587724611,0.36363636363636365,0.017136790394008082,0.00010678894000297007
34,DDUDH,U,5,11,0.0010094891984655764,0.45454545454545453,0.0214209879925101,0.00020857214844330089
35,DDUDH,H,2,11,0.0004037956793862306,0.18181818181818182,0.008568395197004041,1.3348617500371259e-05
36,DDUUD,D,16,40,0.0032303654350898446,0.4,0.035946434788945866,0.0005168584696143752
37,DDUUD,U,17,40,0.00343226327478296,0.425,0.038193086963254984,0.0006199525540076721
38,DDUUD,H,7,40,0.001413284877851807,0.175,0.01572656522016382,4.328184938421158e-05
39,DDUUU,D,14,34,0.002826569755703614,0.4117647058823529,0.034115709931250925,0.000479245391105457
40,DDUUU,U,10,34,0.0020189783969311527,0.29411764705882354,0.024368364236607803,0.0001746521104611724
41,DDUUU,H,10,34,0.0020189783969311527,0.29411764705882354,0.024368364236607803,0.0001746521104611724
42,DDUUH,D,4,24,0.0008075913587724611,0.16666666666666666,0.011601661941093189,2.243309329923503e-05
43,DDUUH,U,13,24,0.0026246719160104987,0.5416666666666666,0.03770540130855286,0.0007700860309128025
44,DDUUH,H,7,24,0.001413284877851807,0.2916666666666667,0.02030290839691308,0.00012022735940058777
