date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2019-09-19,50000.5,941.5611843789126,53.103824615478516,100001.0,1,0,1,1,0.5,-50000.5,941.5611843789126
2019-09-20,25000.5000025,1419.330587151063,52.327545166015625,99270.58540715472,1,1,1,1,0.5,-25000.5000025,477.7694027721502
2019-09-23,25000.750007500028,1419.330587151063,52.56547546386719,99608.53716150543,1,0,-1,0,0.5,0.0,0.0
2019-09-24,12500.500007500052,1658.2749016709645,52.31553649902344,99254.0411512819,0,0,1,1,0.5,-12500.500007500052,238.94431451990167
2019-09-25,6250.312506250064,1775.9374915948579,53.120643615722656,100589.25508106095,0,0,1,1,0.5,-6250.312506250064,117.66258992389346
2019-09-26,3125.1875046875634,1835.074383931807,52.84666442871094,100102.74767405522,0,0,1,1,0.5,-3125.1875046875634,59.13689233694923
2019-09-27,3125.2187565626105,1835.074383931807,52.58950424194336,99630.87085462597,0,0,0,0,0.5,0.0,0.0
2019-09-30,1562.625004375088,1864.104767946055,53.82722473144531,101902.2112715661,0,1,1,1,0.5,-1562.625004375088,29.030384014248064
2019-10-01,1562.640630625132,1864.104767946055,53.976226806640625,102179.98237662158,0,0,0,0,0.5,0.0,0.0
2019-10-02,1562.6562570314384,1864.104767946055,52.62316131591797,99657.74217042852,0,1,-1,0,0.5,0.0,0.0
2019-10-03,781.3359417970044,1878.827461799635,53.07017517089844,100491.03845539813,0,0,1,1,0.5,-781.3359417970044,14.722693853580076
2019-10-04,390.6718775782112,1885.9881553076066,54.55782699584961,103286.08737107215,0,1,0,1,0.5,-390.6718775782112,7.160693507971475
2019-10-07,195.3378921484935,1889.5677492134812,54.569847106933594,103308.7610649208,1,0,0,1,0.5,-195.3378921484935,3.5795939058746975
2019-10-08,97.66992276370749,1891.378779918672,53.930572509765625,102100.8103565997,1,1,1,1,0.5,-97.66992276370749,1.811030705190857
2019-10-09,48.83544973146757,1892.2738145453327,54.56263732910156,103296.28532012405,1,0,0,1,0.5,-48.83544973146757,0.895034626660553
2019-10-10,24.417969042982445,1892.7153847105615,55.29804992675781,104687.88780991023,1,0,0,1,0.5,-24.417969042982445,0.44157016522868364
2019-10-11,12.209106611336438,1892.9304515926206,56.768882751464844,107471.75596975021,1,1,1,1,0.5,-12.209106611336438,0.2150668820591048
2019-10-14,6.104614351201276,1893.0381411056428,56.68717575073242,107317.09042204659,1,0,0,1,0.5,-6.104614351201276,0.10768951302221828
2019-10-15,6.1046753973447885,1893.0381411056428,56.55499267578125,107066.86288060153,1,0,-1,0,0.5,0.0,0.0
2019-10-16,3.052368222049381,1893.092331561578,56.32667541503906,106634.64965879057,1,0,1,1,0.5,-3.052368222049381,0.05419045593510047
2019-10-17,1.526199372865801,1893.1193222596626,56.54538345336914,107048.6841995278,1,0,0,1,0.5,-1.526199372865801,0.02699069808456424
2019-10-18,0.7631073174297649,1893.1327532374153,56.816959381103516,107562.80985104431,1,0,0,1,0.5,-0.7631073174297649,0.013430977752807433
2019-10-21,0.38155747425146963,1893.139354313878,57.802310943603516,109428.21117509781,1,1,0,1,0.5,-0.38155747425146963,0.006601076462561283
2019-10-22,0.1907806449131061,1893.1426624499848,57.67013168334961,109177.97741950261,1,0,0,1,0.5,-0.1907806449131061,0.003308136106930164
2019-10-23,0.09539127635977762,1893.1442946320917,58.44401550292969,110643.04989603722,1,0,1,1,0.5,-0.09539127635977762,0.001632182106908719
2019-10-24,0.04769611513627061,1893.1451093912735,58.540138244628906,110825.02411702341,1,0,0,1,0.5,-0.04769611513627061,0.0008147591817593078
2019-10-25,0.023848296048710988,1893.1455118185565,59.261131286621094,112189.96856885302,1,0,1,1,0.5,-0.023848296048710988,0.00040242728295831614
2019-10-28,0.011924267265835738,1893.1457110386302,59.8547477722168,113313.7709545385,1,0,0,1,0.5,-0.011924267265835738,0.0001992200737561325
2019-10-29,0.005962193254254199,1893.145813008002,58.47043228149414,110693.06002067181,1,1,1,1,0.5,-0.005962193254254199,0.00010196937189638718
2019-10-30,0.002981126438093371,1893.1458639994787,58.46323013305664,110679.42530357231,1,0,1,1,0.5,-0.002981126438093371,5.0991476716367126e-05
2019-10-31,0.001490578124678876,1893.1458889317644,59.785057067871094,113181.83649816921,1,1,1,1,0.5,-0.001490578124678876,2.4932285721274705e-05
2019-11-01,0.0007452965152300614,1893.1459010539913,61.481815338134766,116394.04744204477,1,1,-1,1,0.5,-0.0007452965152300614,1.2122226891498162e-05
2019-11-04,0.0007453039681952138,1893.1459010539913,61.88557052612305,117158.41492122151,1,0,-1,0,0.5,0.0,0.0
2019-11-05,0.0007453114212348958,1893.1459010539913,61.79664611816406,116990.06804279776,1,0,-1,0,0.5,0.0,0.0
2019-11-06,0.0003726594371745541,1893.1459070818294,61.82306671142578,117040.08608064205,1,0,1,1,0.5,-0.0003726594371745541,6.02783810311502e-06
2019-11-07,0.00018633158188446295,1893.1459100613902,62.53659439086914,118390.89808657356,1,0,0,1,0.5,-0.00018633158188446295,2.97956074678203e-06
2019-11-08,9.31667226001409e-05,1893.145911547119,62.7077522277832,118714.92484550424,1,0,0,1,0.5,-9.31667226001409e-05,1.4857289456288723e-06
2019-11-11,4.6583827133683456e-05,1893.1459122841545,63.20432662963867,119655.01264415681,1,0,1,1,0.5,-4.6583827133683456e-05,7.370354154178854e-07
2019-11-12,2.3292146485977397e-05,1893.1459126530137,63.14645004272461,119545.44382022397,1,0,0,1,0.5,-2.3292146485977397e-05,3.6885915946530696e-07
2019-11-13,1.1646189703721129e-05,1893.1459128356948,63.75151062011719,120690.91177922244,1,0,1,1,0.5,-1.1646189703721129e-05,1.8268099987651275e-07
2019-11-14,1.1646306165618167e-05,1893.1459128356948,63.310386657714844,119855.79975274667,1,0,-1,0,0.5,0.0,0.0
2019-11-15,1.1646422628679825e-05,1893.1459128356948,64.06245422363281,121279.57339134067,1,0,-1,0,0.5,0.0,0.0
2019-11-18,5.823269546453056e-06,1893.1459129261386,64.38548278808594,121891.1135978644,1,0,0,1,0.5,-5.823269546453056e-06,9.044382824027856e-08
2019-11-19,2.9116638895742606e-06,1893.1459129714985,64.19022369384766,121521.4596416456,1,0,0,1,0.5,-2.9116638895742606e-06,4.535992744722793e-08
2019-11-20,1.4558465031065783e-06,1893.1459129944458,63.44295120239258,120106.76377857142,0,1,1,1,0.5,-1.4558465031065783e-06,2.2947332611659386e-08
2019-11-21,1.4558610615716094e-06,1893.1459129944458,63.158538818359375,119568.32963613396,0,0,0,0,0.5,0.0,0.0
2019-11-22,59731.6552670471,946.5729564972229,63.103065490722656,119463.31053263832,0,0,-1,-1,0.5,59731.655265591224,-946.5729564972229
2019-11-25,29866.126291799887,1411.7085091309757,64.20951080322266,120511.23905984662,0,1,0,1,0.5,-29866.126291799887,465.13555263375275
2019-11-26,14933.212476531404,1646.1089724078074,63.7081184387207,119803.71785372883,0,0,1,1,0.5,-14933.212476531404,234.4004632768318
2019-11-27,14933.361808656171,1646.1089724078074,64.5638427734375,121212.48269113862,0,0,0,0,0.5,0.0,0.0
2019-11-29,14933.51114227426,1646.1089724078074,64.42161560058594,120978.51059940555,0,0,0,0,0.5,0.0,0.0
2019-12-02,7466.830238692842,1763.3704074842442,63.67677688598633,119752.57424341785,0,1,1,1,0.5,-7466.830238692842,117.26143507643687
2019-12-03,3733.4524534976144,1823.066088878091,62.54141616821289,117750.58742017849,0,1,1,1,0.5,-3733.4524534976144,59.69568139384678
2019-12-04,1866.7448940110748,1852.6530806457488,63.09343338012695,118756.9886142206,0,0,1,1,0.5,-1866.7448940110748,29.586991767657686
2019-12-05,933.3817807300076,1867.2328223919353,64.01908874511719,120471.92554523496,0,0,1,1,0.5,-933.3817807300076,14.579741746186565
2019-12-06,466.69555727390747,1874.3846242439936,65.25566101074219,122780.90320068733,0,1,1,1,0.5,-466.69555727390747,7.151801852058191
2019-12-09,233.3501121147401,1878.0113337340033,64.34210205078125,121068.54699975178,0,1,1,1,0.5,-233.3501121147401,3.626709490009687
2019-12-10,116.67622280793064,1879.8141706349224,64.71812438964844,121774.72354738266,0,0,1,1,0.5,-116.67622280793064,1.8028369009191005
2019-12-11,58.33869478507936,1880.7079744504617,65.27013397216797,122812.40014969137,0,0,1,1,0.5,-58.33869478507936,0.8938038155392134
2019-12-12,61591.784782461444,940.3539872252309,65.43647003173828,123125.23028675086,0,0,-1,-1,0.5,61533.44550428942,-940.3539872252309
2019-12-13,92777.33676252265,470.17699361261543,66.3259506225586,123962.27282473604,0,0,-1,-1,0.5,31184.93606221338,-470.17699361261543
2019-12-16,46389.13226794514,1157.817529295639,67.46131134033203,124497.02108705224,1,1,0,1,0.5,-46389.13226794514,687.6405356830235
2019-12-17,23194.79807963391,1500.966834330893,67.5938949584961,124650.99261558271,1,0,0,1,0.5,-23194.79807963391,343.14930503525426
2019-12-18,23195.03002761471,1500.966834330893,67.43238830566406,124408.80843413883,1,0,-1,0,0.5,0.0,0.0
2019-12-19,11597.630988957493,1672.7839392856508,67.49986267089844,124510.31716882343,1,0,1,1,0.5,-11597.630988957493,171.81710495475778
2019-12-20,5798.873482633691,1758.8716107305474,67.36009216308594,124276.62728447877,1,0,0,1,0.5,-5798.873482633691,86.08767144489653
2019-12-23,2899.465735684259,1801.2247487007205,68.45928955078125,126210.03235302008,1,0,0,1,0.5,-2899.465735684259,42.35313797017297
2019-12-24,1449.747365170808,1822.3814151541,68.52437591552734,126327.29651866107,1,0,0,1,0.5,-1449.747365170808,21.156666453379565
2019-12-26,724.8809313222299,1832.7540591514376,69.8839111328125,128804.90272936267,1,1,1,1,0.5,-724.8809313222299,10.372643997337429
2019-12-27,362.4440900657716,1837.9424024692587,69.85738372802734,128756.29176937325,1,0,0,1,0.5,-362.4440900657716,5.18834331782105
2019-12-30,181.22385725333615,1840.5212932040838,70.27201843261719,129518.37009891514,1,0,1,1,0.5,-181.22385725333615,2.578890734825115
2019-12-31,90.61283474595434,1841.8013983686303,70.78546142578125,130463.37467291861,1,0,1,1,0.5,-90.61283474595434,1.2801051645465664
2020-01-02,45.306870437150906,1842.4271793745395,72.40052032470703,133437.99331753614,1,1,0,1,0.5,-45.306870437150906,0.6257810059092864
2020-01-03,22.65366175292764,1842.7431448332877,71.69664001464844,132141.14555632634,1,1,0,1,0.5,-22.65366175292764,0.315965458748126
2020-01-06,11.326944144772586,1842.8998801861092,72.26795959472656,133193.94102256093,1,0,1,1,0.5,-11.326944144772586,0.15673535282154444
2020-01-07,5.663528707107017,1842.9786190026052,71.92803955078125,132567.5025275707,1,0,1,1,0.5,-5.663528707107017,0.0787388164960142
2020-01-08,2.8317926711970443,1843.0173655069834,73.08511352539062,134699.96518001542,1,0,1,1,0.5,-2.8317926711970443,0.03874650437825818
2020-01-09,1.4159104945618781,1843.0363360050903,74.63749694824219,137561.03481457397,1,1,0,1,0.5,-1.4159104945618781,0.018970498106920034
2020-01-10,0.7079623268334119,1843.0457999540117,74.80622863769531,137872.0134634307,1,0,0,1,0.5,-0.7079623268334119,0.009463948921449375
2020-01-13,0.35398470322834014,1843.0504329932098,76.40442657470703,140817.56546581493,1,1,1,1,0.5,-0.35398470322834014,0.004633039198091743
2020-01-14,0.17699412153768623,1843.052781245233,75.37271118164062,138916.06196743797,1,1,-1,1,0.5,-0.17699412153768623,0.002348252023350311
2020-01-15,0.08849794573945081,1843.0539604365854,75.04969024658203,138320.71733644773,1,0,1,1,0.5,-0.08849794573945081,0.0011791913524050988
2020-01-16,0.044249415359454106,1843.054542743832,75.98980712890625,140053.40348057364,1,0,1,1,0.5,-0.044249415359454106,0.0005823072466073123
2020-01-17,0.0442498578536077,1843.054542743832,76.8310775756836,141603.91079962527,1,0,-1,0,0.5,0.0,0.0
2020-01-21,0.04425030035218624,1843.054542743832,76.31040954589844,140644.29122251074,1,0,-1,0,0.5,0.0,0.0
2020-01-22,0.02212537142759488,1843.0548316516663,76.58280181884766,141146.32503902062,1,0,1,1,0.5,-0.02212537142759488,0.00028890783442385947
2020-01-23,0.011062796340654579,1843.054975414713,76.95159912109375,141826.03868904663,1,0,0,1,0.5,-0.011062796340654579,0.00014376304673338592
2020-01-24,70708.67767426351,921.5274877073565,76.72985076904297,141417.34428562006,0,0,-1,-1,0.5,70708.66661135654,-921.5274877073565
2020-01-27,35354.69238052013,1396.2554253232374,74.47358703613281,139338.8423230029,0,1,1,1,0.5,-35354.69238052013,474.7279376158808
2020-01-28,17677.522963721967,1627.09157997071,76.58039093017578,142280.8322370763,0,1,0,1,0.5,-17677.522963721967,230.83615464747263
2020-01-29,8838.849869475804,1740.1443557662171,78.18339538574219,144889.2440646136,0,1,1,1,0.5,-8838.849869475804,113.0527757955072
2020-01-30,8838.9382579745,1740.1443557662171,78.0700912475586,144692.16689656716,0,0,0,0,0.5,0.0,0.0
2020-01-31,4419.5133236785405,1799.3803354405381,74.60859680175781,138668.75526357337,0,1,1,1,0.5,-4419.5133236785405,59.23597967432105
2020-02-03,4419.557518811777,1799.3803354405381,74.40367126464844,138300.0604770024,0,0,0,0,0.5,0.0,0.0
2020-02-04,73569.78855449415,899.6901677202691,76.86000061035156,142719.97539460135,0,-1,-1,-1,0.5,69150.18684010718,-899.6901677202691
2020-02-05,36785.26212618985,1374.4197951013748,77.48676300048828,143284.60305238975,0,0,1,1,0.5,-36785.26212618985,474.72962738110573
2020-02-06,36785.629978811114,1374.4197951013748,78.39312744140625,144530.69613418466,0,0,0,0,0.5,0.0,0.0
2020-02-07,18392.99891755545,1612.278124792073,77.3275375366211,143066.49613188754,0,1,1,1,0.5,-18392.99891755545,237.85832969069807
2020-02-10,9196.591423772314,1730.6462828051992,77.69480895996094,143658.8237435888,0,0,1,1,0.5,-9196.591423772314,118.36815801312625
2020-02-11,9196.683389686552,1730.6462828051992,77.22605895996094,142847.6752644381,0,0,0,0,0.5,0.0,0.0
2020-02-12,9196.77535652045,1730.6462828051992,79.05999755859375,146021.66624988886,0,1,-1,0,0.5,0.0,0.0
2020-02-13,4598.433662137008,1789.2272760251437,78.49702453613281,145047.4510490008,0,0,1,1,0.5,-4598.433662137008,58.580993219944425
2020-02-14,4598.479646473629,1789.2272760251437,78.51634979248047,145082.07430911082,0,0,0,0,0.5,0.0,0.0
2020-02-18,4598.525631270094,1789.2272760251437,77.07865142822266,142509.75116588047,0,1,-1,0,0.5,0.0,0.0
2020-02-19,74552.86429182385,894.6136380125719,78.19497680664062,144507.1569671213,0,0,-1,-1,0.5,69954.29267529745,-894.6136380125719
2020-02-20,74553.60982046677,894.6136380125719,77.39278411865234,143790.24997677593,0,1,-1,0,0.5,0.0,0.0
2020-02-21,37277.17767828249,1387.43093669156,75.6409683227539,142223.79721057756,0,1,1,1,0.5,-37277.17767828249,492.8172986789881
2020-02-24,18638.775225029636,1646.1302240617968,72.04803466796875,137239.22267622515,0,1,1,1,0.5,-18638.775225029636,258.69928737023685
2020-02-25,9319.480806390944,1780.0162397476238,69.60757446289062,133222.09375977825,-1,1,1,1,0.5,-9319.480806390944,133.88601568582698
2020-02-26,72253.67699618929,890.0081198738119,70.71183013916016,135187.77999117956,-1,0,-1,-1,0.5,62934.10299499028,-890.0081198738119
2020-02-27,36127.19976647963,1436.6485901814071,66.08950805664062,131074.59834183514,-1,1,1,1,0.5,-36127.19976647963,546.6404703075951
2020-02-28,83573.4967238683,718.3242950907036,66.05085754394531,131019.4324092593,-1,0,-1,-1,0.5,47445.935685391,-718.3242950907036
2020-03-02,41787.16622941777,1297.091977846559,72.20024108886719,135437.5197443749,-1,1,1,1,0.5,-41787.16622941777,578.7676827558556
2020-03-03,87125.63053692717,648.5459889232795,69.90721893310547,132463.67697277426,-1,1,-1,-1,0.5,45338.0464358471,-648.5459889232795
2020-03-04,110847.01740475738,324.27299446163977,73.14983367919922,134567.53301628222,-1,-1,-1,-1,0.5,23720.51561152484,-324.27299446163977
2020-03-05,122323.67441574573,162.13649723081988,70.77708435058594,133799.22295656,-1,1,-1,-1,0.5,11475.548540814283,-162.13649723081988
2020-03-06,127986.47190078959,81.06824861540994,69.8371353149414,133648.0461490893,-1,1,-1,-1,0.5,5661.574248299696,-81.06824861540994
