date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2019-09-19,80000.8,376.624473751565,53.103824615478516,100001.0,1,0,1,1,0.2,-20000.2,376.624473751565
2019-09-20,64001.280006400004,682.3968915257412,52.327545166015625,99709.43416886189,1,1,1,1,0.2,-16000.320001600003,305.7724177741762
2019-09-23,64001.92001920007,682.3968915257412,52.56547546386719,99872.43707731567,1,0,-1,0,0.2,0.0,0.0
2019-09-24,51202.048030720216,927.0758695941206,52.31553649902344,99702.51952383533,0,0,1,1,0.2,-12800.512007680054,244.67897806837934
2019-09-25,40962.04804096042,1119.8542569254278,53.120643615722656,100449.42692464599,0,0,1,1,0.2,-10240.512010240105,192.77838733130704
2019-09-26,32769.96612915267,1274.8780719732,52.84666442871094,100143.01978624235,0,0,1,1,0.2,-8192.491532288168,155.02381504777222
2019-09-27,32770.29382881396,1274.8780719732,52.58950424194336,99815.49960280914,0,0,0,0,0.2,0.0,0.0
2019-09-30,26216.4972254018,1396.6403277656966,53.82722473144531,101393.7700170454,0,1,1,1,0.2,-6554.124306350451,121.76225579249675
2019-10-01,26216.759390374056,1396.6403277656966,53.976226806640625,101602.13448915619,0,0,0,0,0.2,0.0,0.0
2019-10-02,26217.02155796796,1396.6403277656966,52.62316131591797,99712.65082629876,0,1,-1,0,0.2,0.0,0.0
2019-10-03,20973.826982546834,1495.4426537190507,53.07017517089844,100337.23057345007,0,0,1,1,0.2,-5243.456745636709,98.80232595335413
2019-10-04,16779.22937665333,1572.3300148025933,54.55782699584961,102562.13830463486,0,1,0,1,0.2,-4194.807344163332,76.88736108354252
2019-10-07,13423.517735157677,1633.8269698373642,54.569847106933594,102581.20567836725,1,0,0,1,0.2,-3355.8794337894196,61.49695503477093
2019-10-08,10738.921576268023,1683.6082028027822,53.930572509765625,101536.87583555967,1,1,1,1,0.2,-2684.7303940670063,49.78123296541793
2019-10-09,8591.22317238703,1722.9722419737993,54.56263732910156,102601.13273931247,1,0,0,1,0.2,-2147.8057930967575,39.36403917101717
2019-10-10,6873.047267695004,1754.0449799672654,55.29804992675781,103868.31414370374,1,0,0,1,0.2,-1718.2618169237512,31.07273799346607
2019-10-11,5498.492798534145,1778.2593582147933,56.768882751464844,106448.28980672488,1,1,1,1,0.2,-1374.6231996335364,24.214378247527975
2019-10-14,4398.838226769704,1797.6589762435362,56.68717575073242,106303.04855296876,1,0,0,1,0.2,-1099.709556692426,19.3996180287429
2019-10-15,4398.882215151973,1797.6589762435362,56.55499267578125,106065.47245015758,1,0,-1,0,0.2,0.0,0.0
2019-10-16,3519.1409631792994,1813.2783117415431,56.32667541503906,105655.07986577522,1,0,1,1,0.2,-879.7852407948249,15.61933549800677
2019-10-17,2815.340923671145,1825.7255742399611,56.54538345336914,106051.69359969231,1,0,0,1,0.2,-703.8352309177862,12.44726249841798
2019-10-18,2252.2952616643056,1835.6358866105902,56.816959381103516,106547.54486971414,1,0,0,1,0.2,-563.0738154160764,9.910312370629015
2019-10-21,1801.854227693538,1843.429062170005,57.802310943603516,108356.31408171958,1,1,0,1,0.2,-450.4635569233845,7.793175559414782
2019-10-22,1441.497796988652,1849.6779545988602,57.67013168334961,108112.66901049369,1,0,0,1,0.2,-360.37444924716306,6.248892428855153
2019-10-23,1153.2097695732978,1854.6109223272476,58.44401550292969,109544.11926596968,1,0,1,1,0.2,-288.30244239332444,4.932967728387389
2019-10-24,922.5770413367949,1858.5508559736354,58.540138244628906,109722.4010847068,1,0,0,1,0.2,-230.64426033419875,3.9399336463876646
2019-10-25,738.0690136857667,1861.6644862641037,59.261131286621094,111062.41254582284,1,0,1,1,0.2,-184.51725342144167,3.1136302904682926
2019-10-28,590.4611155007228,1864.1307113234247,59.8547477722168,112167.5346562074,1,0,0,1,0.2,-147.6152788751807,2.466225059321031
2019-10-29,472.3736160895023,1866.1504228154458,58.47043228149414,109586.9955404017,1,1,1,1,0.2,-118.09340402237558,2.019711492021106
2019-10-30,377.90267186053063,1867.7664072170965,58.46323013305664,109573.55997178603,1,0,1,1,0.2,-94.47566796513266,1.6159844016506648
2019-10-31,302.32516070979943,1869.0306242954819,59.785057067871094,112042.42769581392,1,1,1,1,0.2,-75.58129017744986,1.2642170783854243
2019-11-01,241.8625471691252,1870.0140961799689,61.481815338134766,115213.72388821495,1,1,-1,1,0.2,-60.46563679228131,0.9834718844870678
2019-11-04,241.8649657945969,1870.0140961799689,61.88557052612305,115968.7541997843,1,0,-1,0,0.2,0.0,0.0
2019-11-05,241.86738444425487,1870.0140961799689,61.79664611816406,115802.4667220562,1,0,-1,0,0.2,0.0,0.0
2019-11-06,193.49584249447946,1870.7965543011328,61.82306671142578,115851.87602255889,1,0,1,1,0.2,-48.373960623619865,0.7824581211640165
2019-11-07,154.79822196232354,1871.415384857346,62.53659439086914,117186.74308161844,1,0,0,1,0.2,-38.699555490580885,0.6188305562132008
2019-11-08,123.83981595563452,1871.9091029845156,62.7077522277832,117507.05203884056,1,0,0,1,0.2,-30.959953988908634,0.4937181271694756
2019-11-11,99.07284348303526,1872.300978227739,63.20432662963867,118436.59542038105,1,0,1,1,0.2,-24.768210870758818,0.3918752432233675
2019-11-12,79.25906736917608,1872.6147688973474,63.14645004272461,118328.2340208138,1,0,0,1,0.2,-19.81476684229402,0.31379066960830637
2019-11-13,63.40788796787982,1872.8634213894652,63.75151062011719,119461.28018670739,1,0,1,1,0.2,-15.851971991969956,0.2486524921178537
2019-11-14,63.40852204675951,1872.8634213894652,63.310386657714844,118635.11588730452,1,0,-1,0,0.2,0.0,0.0
2019-11-15,63.40915613197998,1872.8634213894652,64.06245422363281,120043.63635601093,1,0,-1,0,0.2,0.0,0.0
2019-11-18,50.72783217883304,1873.060390605126,64.38548278808594,120648.6253725307,1,0,0,1,0.2,-12.68195804470826,0.19696921566075395
2019-11-19,40.582671565723864,1873.2184468839112,64.19022369384766,120282.89380448585,1,0,0,1,0.2,-10.145667891430968,0.15805627878507275
2019-11-20,32.46646191395162,1873.3463825383008,63.44295120239258,118883.08959447003,0,1,1,1,0.2,-8.116615478487905,0.12793565438963705
2019-11-21,32.46678657857076,1873.3463825383008,63.158538818359375,118350.28700835696,0,0,0,0,0.2,0.0,0.0
2019-11-22,23675.247004070992,1498.6771060306405,63.103065490722656,118246.3665753692,0,0,-1,-1,0.2,23642.779892824557,-374.6692765076602
2019-11-25,18940.387005232828,1572.4215823874133,64.20951080322266,119904.8075867579,0,1,0,1,0.2,-4735.096751308207,73.74447635677289
2019-11-26,15152.461127282304,1631.8820620665342,63.7081184387207,119116.59681544085,0,0,1,1,0.2,-3788.115281820576,59.46047967912084
2019-11-27,15152.612651893578,1631.8820620665342,64.5638427734375,120513.18953195027,0,0,0,0,0.2,0.0,0.0
2019-11-29,15152.764178020097,1631.8820620665342,64.42161560058594,120281.24308596189,0,0,0,0,0.2,0.0,0.0
2019-12-02,12122.332564529503,1679.4752866193198,63.67677688598633,119065.90567611587,0,1,1,1,0.2,-3030.583141132376,47.593224552785614
2019-12-03,9697.96303028412,1718.241450005356,62.54141616821289,117159.21663254265,0,1,1,1,0.2,-2424.49075757103,38.76616338603625
2019-12-04,7758.448007931538,1748.9833497256814,63.09343338012695,118107.8124668001,0,0,1,1,0.2,-1939.6120019828847,30.741899720325254
2019-12-05,6206.820473929294,1773.2215128876128,64.01908874511719,119726.84587223234,0,0,1,1,0.2,-1551.7051184823238,24.238163161931514
2019-12-06,4965.506033707226,1792.2447897834281,65.25566101074219,121919.6244840835,0,1,1,1,0.2,-1241.3765084268068,19.023276895815297
2019-12-09,3972.4445510140513,1807.679646682721,64.34210205078125,120282.35285299389,0,1,1,1,0.2,-993.1111377535128,15.434856899292962
2019-12-10,3177.987420367649,1819.9559118338632,64.71812438964844,120962.12050610765,0,0,1,1,0.2,-794.4968550919124,12.276265151141972
2019-12-11,2542.4153601934822,1829.6939620164997,65.27013397216797,121966.78538907722,0,0,1,1,0.2,-635.6038400483707,9.738050182636371
2019-12-12,26488.183606896117,1463.7551696131998,65.43647003173828,122271.15489709224,0,0,-1,-1,0.2,23945.742822549033,-365.93879240329994
